REGISTRATION,OPERATOR,TYPE,POPULAR NAME,OPERATION TYPE,EGOW FLIGHT TYPE,CAA FLIGHT TYPE,JET/PROP,CAA OPR,CAA OPR PFX,CAA LESSOR PREFIX,CAA FLIGHT,FIXED C/S,SEATS,WARNINGS,NOTES
ZM531,DEFENCE HELICOPTER FLIGHT SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS31,,,
ZM532,DEFENCE HELICOPTER FLIGHT SCHOOL,EC35,,,VMH,M,,,SYS,,,SYS32,,,
ZZ103,WESTLAND HELICOPTERS,EH10,MERLIN,,VMH,M,,,WHE,,GOVERNMENT CHARTER,,,,
ZZ376,ROYAL NAVY,LYNX,WILDCAT,,VNH,M,,,NVY,,,NVY,,,
ZZ377,ROYAL NAVY,LYNX,WILDCAT,,VMH,M,,,NVY,,,NVY,,,
ZZ387,ARMY AIR CORPS,LYNX,WILDCAT,,VMH,M,,,AAC,,,AAC,,,
ZZ388,ARMY AIR CORPS,LYNX,WILDCAT,,VMH,M,,,AAC,,,AAC,,,
ZZ405,ARMY AIR CORPS,LYNX,WILDCAT,,VMH,M,,,AAC,,,AAC,,,
ZZ406,ARMY AIR CORPS,LYNX,WILDCAT,,VMH,M,,,AAC,,,AAC,,,
ZZ408,ARMY AIR CORPS,LYNX,WILDCAT,,VMH,M,,,AAC,,,AAC,,,
ZZ416,ROYAL AIR FORCE,B350,SUPER KING AIR 350,,VM,M,,,WAD,,,,,,
ZZ418,ROYAL AIR FORCE,B350,SUPER KING AIR 350,,VM,M,,,WAD,,,,,,
ZZ514,ROYAL NAVY,LYNX,WILDCAT,,VMH,M,,,NVY,,,NVY,,,
ZZ517,ROYAL NAVY,LYNX,WILDCAT,,VMH,M,,,NVY,,,NVY,,,
ZZ528,ROYAL NAVY,LYNX,WILDCAT,,VNH,M,,,NVY,,,NVY,,,
ZZ531,ROYAL NAVY,LYNX,WILDCAT,,VNH,M,,,NVY,,,NVY,,,
